PRODUTO;PRINCÍPIO ATIVO;LABORATÓRIO;TIPO DE PRODUTO (STATUS DO PRODUTO);TARJA
ÁCIDO FUSÍDICO + VALERATO DE BETAMETASONA;"ÁCIDO FUSÍDICO;VALERATO DE BETAMETASONA";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ÁCIDO FUSÍDICO+VALERATO DE BETAMETASONA;"ÁCIDO FUSÍDICO;VALERATO DE BETAMETASONA";EMS S/A;Genérico;Tarja Vermelha
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;EMS S/A;Genérico;Venda Livre
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ÁCIDO MEFENÂMICO;ÁCIDO MEFENÂMICO;Aché Laboratórios Farmacêuticos S.A;Genérico;Tarja Vermelha
ACIDO TRANEXAMICO;ÁCIDO TRANEXÂMICO;BLAU FARMACÊUTICA S.A.;Genérico;Tarja Vermelha
ÁCIDO TRANEXÂMICO;ÁCIDO TRANEXÂMICO;EMS S/A;Genérico;Tarja Vermelha
ÁCIDO TRANEXÂMICO;ÁCIDO TRANEXÂMICO;HIPOLABOR FARMACEUTICA LTDA;Genérico;Tarja Vermelha
ÁCIDO TRANEXÂMICO;ÁCIDO TRANEXÂMICO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ÁCIDO VALPRÓICO;ÁCIDO VALPRÓICO;BIOLAB SANUS FARMACÊUTICA LTDA;Genérico;Venda Livre
ÁCIDO VALPRÓICO;VALPROATO DE SÓDIO;BIOLAB SANUS FARMACÊUTICA LTDA;Genérico;Venda Livre
ACIDO ZOLEDRONICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;ANTIBIÓTICOS DO BRASIL LTDA;Genérico;Tarja Vermelha
ACIDO ZOLEDRONICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;BLAU FARMACÊUTICA S.A.;Genérico;Tarja Vermelha
ACIDO ZOLEDRONICO;ÁCIDO ZOLEDRÔNICO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Tarja Vermelha
ACIDO ZOLEDRONICO;ÁCIDO ZOLEDRÔNICO;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ÁCIDO ZOLEDRÔNICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
ÁCIDO ZOLEDRÔNICO;ÁCIDO ZOLEDRÔNICO;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
ÁCIDO ZOLEDRÔNICO;ÁCIDO ZOLEDRÔNICO;SUN FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
ÁCIDO ZOLEDRÔNICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;ACCORD FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ÁCIDO ZOLEDRÔNICO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;MYLAN LABORATORIOS LTDA;Genérico;Tarja Vermelha
ACIVIRAX;ACICLOVIR;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;Similar;Venda Livre
ACIVIRAX;ACICLOVIR;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
ACLASTA;ÁCIDO ZOLEDRÔNICO;NOVARTIS BIOCIENCIAS S.A;Novo (Referência);Tarja Vermelha
ACNASE;"PERÓXIDO DE BENZOÍLA;ENXOFRE";BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Tarja Vermelha
ACNASE;PERÓXIDO DE BENZOÍLA;AVERT LABORATÓRIOS LTDA;Similar;Tarja Vermelha
ACNASE;"PERÓXIDO DE BENZOÍLA;ENXOFRE";AVERT LABORATÓRIOS LTDA;Similar (Referência);Tarja Vermelha
ACNOVA;ISOTRETINOÍNA;GERMED FARMACEUTICA LTDA;Similar;Tarja Vermelha
ACTEMRA;TOCILIZUMABE;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;Biológicos;Venda Livre
ACTEMRA SC;TOCILIZUMABE;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;Biológicos;Venda Livre
ACTIFEDRIN;"CLORIDRATO DE TRIPROLIDINA;CLORIDRATO DE PSEUDOEFEDRINA";FARMOQUÍMICA S/A;Similar (Referência);Venda Livre
ACTIFEDRIN;"CLORIDRATO DE TRIPROLIDINA;CLORIDRATO DE PSEUDOEFEDRINA";FARMOQUÍMICA S/A;Novo;Venda Livre
ACTILYSE;ALTEPLASE;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;Biológicos;Tarja Vermelha sob restrição
ACTIVELLE;"ACETATO DE NORETISTERONA;ESTRADIOL HEMI-HIDRATADO";EUROFARMA LABORATÓRIOS S.A.;Novo (Referência);Tarja Vermelha
ACTONEL;RISEDRONATO SÓDICO;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
ACTONEL;NI;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
ACTOS;CLORIDRATO DE PIOGLITAZONA;ABBOTT LABORATÓRIOS DO BRASIL LTDA;Novo (Referência);Tarja Vermelha
ACU FRESH;CARMELOSE SÓDICA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Específico;Venda Livre
ACULAR;TROMETAMOL CETOROLACO;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;Novo (Referência);Tarja Vermelha
ACULAR CMC;TROMETAMOL CETOROLACO;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;Novo;Tarja Vermelha
ACULAR LS;TROMETAMOL CETOROLACO;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;Novo (Referência);Tarja Vermelha
AD FURP;"ÓXIDO DE ZINCO;PALMITATO DE RETINOL;COLECALCIFEROL";FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;Específico;Venda Livre
ADACEL;VACINA ADSORVIDA DIFTERIA, TÉTANO E PERTUSSIS (ACELULAR);SANOFI-AVENTIS FARMACÊUTICA LTDA;Biológicos;Tarja Vermelha
